locus_id	sample_id	group	n_overlapping_peaks	peak_present	covered_bp	mean_RPGC
87	103	PBMC	0	FALSE	501	2.8757667791343735
87	1360	AML	0	FALSE	501	2.213540680632144
87	168	AML	0	FALSE	501	2.2180652989598806
87	1916	AML	0	FALSE	501	1.9360697357478494
87	260	AML	0	FALSE	501	1.2627868309706272
87	270	AML	0	FALSE	501	1.0680790632784725
87	472	AML	0	FALSE	501	4.351964003549602
87	546	AML	1	TRUE	501	11.005496705601553
87	566	AML	0	FALSE	501	5.301036521584212
87	576	PBMC	0	FALSE	501	2.1522609754474815
87	629	AML	0	FALSE	501	2.0018536604331163
87	673	PBMC	0	FALSE	501	4.170904014876741
87	773	AML	0	FALSE	501	3.0540576409436984
87	990	AML	0	FALSE	501	1.6775908398771
88	018	AML	1	TRUE	501	4.947131527160218
88	027	AML	0	FALSE	501	2.6767260376326814
88	103	PBMC	1	TRUE	501	5.1976224571882845
88	1360	AML	1	TRUE	501	5.7025640301123826
88	168	AML	0	FALSE	501	3.434737886021475
88	1916	AML	0	FALSE	501	2.4001221247537883
88	260	AML	0	FALSE	501	2.2615366153374405
88	270	AML	0	FALSE	501	2.289335073825128
88	472	AML	0	FALSE	501	4.592168780857931
88	546	AML	1	TRUE	501	16.139832209208294
88	566	AML	0	FALSE	501	8.790498605983224
88	576	PBMC	0	FALSE	501	5.724179186982785
88	629	AML	0	FALSE	501	4.63969573336923
88	673	PBMC	1	TRUE	501	5.714950305497099
88	773	AML	1	TRUE	501	16.67689792553108
88	990	AML	1	TRUE	501	10.160983210314296
89	018	AML	1	TRUE	501	4.3517276284223545
89	027	AML	0	FALSE	501	2.8811072084956066
89	103	PBMC	1	TRUE	501	12.78566650668542
89	1360	AML	0	FALSE	501	1.7321417193688795
89	168	AML	0	FALSE	501	2.6291785135478554
89	1916	AML	0	FALSE	501	2.5620008866468114
89	260	AML	0	FALSE	501	3.179931197099819
89	270	AML	0	FALSE	501	6.089712330443178
89	472	AML	0	FALSE	501	5.726084230664723
89	546	AML	1	TRUE	501	20.11707792358246
89	566	AML	0	FALSE	501	3.657715841205772
89	576	PBMC	2	TRUE	501	16.068358582174945
89	629	AML	1	TRUE	501	5.514938631695426
89	673	PBMC	1	TRUE	501	6.814418668042638
89	773	AML	1	TRUE	501	18.19428553933393
89	990	AML	1	TRUE	501	7.875631066853415
90	018	AML	0	FALSE	501	4.303566660947666
90	027	AML	0	FALSE	501	0.9691610935919299
90	103	PBMC	1	TRUE	501	6.594499669270125
90	1360	AML	0	FALSE	501	5.248158220521466
90	168	AML	0	FALSE	501	2.8152907441952033
90	1916	AML	0	FALSE	501	2.3332122607145482
90	260	AML	0	FALSE	501	1.6110098661776788
90	270	AML	0	FALSE	501	1.3785672416230161
90	472	AML	0	FALSE	501	4.6769498722281995
